x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
1.87016 1.86916 -0.896857 0.0738281 0.226447 -1.06335 0 0 0
1.30659 1.78948 -0.29557 -0.0943346 -0.434153 -0.0641353 0 0 0
1.15007 1.4101 -0.356528 -0.553892 -0.329705 -0.234704 0 0 0
1.58308 1.64201 0.540877 0.703194 0.431673 -0.181537 0 0 0
1.96015 1.96089 0.0019285 -0.40963 2.01925 0.762831 0 0 0
2.11579 1.85593 -0.0661404 0.019579 -1.59304 0.48454 0 0 0
1.60109 1.91782 -0.869404 0.281517 0.863909 -0.154231 0 0 0
1.00169 1.65215 -0.469555 -0.145326 1.3928 -0.0907584 0 0 0
0.744401 1.69249 0.018778 -0.362209 0.32955 -0.398076 0 0 0
0.981872 1.63879 0.483981 0.130281 -1.13489 0.0807249 0 0 0
1.39107 1.52478 0.297284 0.115379 0.167802 1.47712 0 0 0
1.55768 1.86062 0.175712 0.480131 0.297371 0.683413 0 0 0
1.48415 2.05021 0.0455352 -0.0880301 0.618507 -0.597933 0 0 0
1.39378 1.89266 -0.336614 0.266073 0.277364 1.30437 0 0 0
1.37264 2.27633 0.321334 0.542262 -1.37355 -0.504503 0 0 0
1.68807 2.29377 0.52046 -0.564368 -1.87239 -1.8643 0 0 0
1.97891 1.65257 0.247793 -0.160209 1.05551 0.215794 0 0 0
1.80455 1.71054 -0.305968 0.16594 0.819967 -0.912801 0 0 0
1.56096 1.84049 -0.294578 0.104898 0.728667 -0.156467 0 0 0
1.14603 2.18736 -0.216189 0.282151 -0.509903 1.81644 0 0 0
1.47009 2.04698 0.854324 -0.166776 1.08046 -0.969389 0 0 0
1.60827 1.57967 0.0909513 -0.51235 -0.514206 -0.894233 0 0 0
1.49826 1.14874 0.23372 0.0173846 0.721092 -1.52419 0 0 0
1.59077 1.56923 0.239161 0.635029 1.19249 0.139346 0 0 0
1.58507 2.01965 0.197656 0.171399 0.362711 -0.172839 0 0 0
1.72227 1.66675 -0.0395709 -0.574097 0.0195291 -0.238772 0 0 0
1.4965 1.46911 -0.588669 0.256909 0.719538 0.50637 0 0 0
1.30687 1.76908 -0.0199707 0.675002 1.63426 -0.594077 0 0 0
1.25908 2.16777 0.393288 0.166433 0.384446 -0.673264 0 0 0
1.93154 2.09195 0.979158 -0.369909 -0.510449 0.0258153 0 0 0
2.13333 2.11968 -0.321548 0.1575 -0.553041 -0.271718 0 0 0
1.99008 2.33929 -0.39638 -0.125186 -2.10194 -1.4317 0 0 0
1.65792 2.04721 -0.194617 -0.466269 0.346077 -2.862 0 0 0
1.39503 1.73537 -0.0708932 0.106584 -0.0624918 1.12446 0 0 0
1.18518 1.66522 -0.0884922 0.267527 -0.447444 -0.00527088 0 0 0
1.28887 1.78718 0.204062 0.239553 -0.0855029 1.8064 0 0 0
1.26505 2.21539 -0.438635 0.626513 0.821188 0.61692 0 0 0
1.21024 2.39837 0.390062 0.0597525 -0.548216 0.5215 0 0 0
1.63718 2.25947 0.609182 -0.561168 -0.0509235 -0.295538 0 0 0
1.68196 1.99086 -0.195741 0.231945 -0.240184 -0.227066 0 0 0
1.41137 1.84633 -0.391055 -0.15542 -0.204718 1.11862 0 0 0
1.23224 1.75636 -0.0380348 0.0993312 -0.236049 0.314914 0 0 0
1.24808 1.73775 0.2055 -0.225229 -1.53208 0.258044 0 0 0
1.3019 1.60196 -0.0331863 -0.109675 2.17731 0.596302 0 0 0
1.48483 1.69307 0.0575444 0.483559 1.10017 1.43547 0 0 0
1.3995 1.71512 -0.157252 -0.177065 -0.441338 0.916107 0 0 0
1.52628 1.74825 0.0844794 0.0298 -1.40516 -0.537855 0 0 0
1.71946 1.54608 0.148418 -0.175372 -0.394418 -1.18082 0 0 0
1.66415 1.64315 -0.520371 0.3805 -0.80713 0.693115 0 0 0
1.33037 1.84375 -0.0274908 0.0259483 0.13737 2.63487 0 0 0
1.25153 1.81103 0.258198 0.0871297 0.950044 -0.45528 0 0 0
1.4027 1.73378 0.173809 -0.230135 -0.139932 0.900205 0 0 0
1.7122 1.57835 0.103864 -0.347211 -0.780978 -0.533261 0 0 0
1.54587 1.34166 -0.423863 0.0278523 -0.840119 0.275661 0 0 0
1.31041 1.59538 1.04292e-05 0.151434 -0.0153768 0.774617 0 0 0
1.56126 1.90058 0.351636 0.601881 -0.467252 0.177309 0 0 0
1.74008 2.13516 -0.024432 0.121934 0.432302 0.193236 0 0 0
1.67422 1.95312 -0.130784 -0.229717 -0.243923 0.237833 0 0 0
1.52973 1.84038 0.0705919 -0.455237 -1.34184 -0.851669 0 0 0
1.63222 1.42358 0.276992 -0.119249 -1.19331 1.17246 0 0 0
1.50802 1.2668 -0.473821 -0.193516 0.0247164 0.92919 0 0 0
1.2988 1.15779 -0.15347 0.0528405 -0.585702 -0.84511 0 0 0
1.58693 1.17848 0.399118 0.178889 -0.430485 0.96961 0 0 0
1.83543 1.55535 0.202406 0.351288 -0.427477 -0.0171727 0 0 0
1.72585 2.06172 -0.31734 0.487209 -0.583368 1.16149 0 0 0
1.49352 1.87708 -0.333695 -0.393582 -0.576164 0.769492 0 0 0
1.45155 1.56929 0.276347 0.0216361 -2.16564 -0.334895 0 0 0
1.63115 1.45116 0.167677 -0.0119643 0.114802 0.254122 0 0 0
1.36698 1.74478 -0.380258 0.679605 -0.168914 2.8651 0 0 0
1.22788 1.93744 0.0278498 -0.0699954 -0.0510212 0.242291 0 0 0
1.47216 1.88349 0.396134 -0.0583035 -0.922722 0.821703 0 0 0
1.53458 1.85324 -0.168449 -0.14868 0.218243 1.20667 0 0 0
1.21654 1.69342 -0.329544 0.31148 -0.20112 -0.151944 0 0 0
1.16109 1.85868 -0.0569584 0.26212 -0.0116915 0.18626 0 0 0
1.32198 2.03773 -0.0472308 0.227908 1.71563 0.252066 0 0 0
1.51668 2.0604 -0.0212903 -0.262459 1.10485 0.503135 0 0 0
1.58266 1.86408 0.178725 0.117349 0.478328 -0.245287 0 0 0
1.6514 2.06742 -0.383449 0.391299 0.63001 0.576946 0 0 0
1.37738 2.05611 -0.0350305 -0.377614 -0.746656 1.32463 0 0 0
1.49662 1.48035 0.524634 -0.125095 0.86753 1.2093 0 0 0
1.4977 1.53799 -0.0350591 0.654794 0.269719 0.0434397 0 0 0
1.42799 2.20761 -0.0755382 0.616511 -0.306733 1.011 0 0 0
